cc_num,gender,dob,job,city,state,profile
CARD00247,F,1996-03-13,Software Engineer,New Angela,MD,night_owl
CARD00248,M,2000-09-16,Freelancer,Chapmanborough,PA,high_risk
CARD00249,M,1995-12-29,Graphic Designer,Port Amandaberg,NC,conservative
CARD00250,F,1995-06-28,Graphic Designer,Andersonfurt,KY,weekend_splurger
CARD00251,F,2004-09-22,Marketing Manager,Kennedystad,DE,conservative
CARD00252,M,2001-10-14,Consultant,Victorton,ID,night_owl
CARD00253,M,2007-03-25,Data Analyst,New Jennifermouth,NH,night_owl
CARD00254,F,2006-12-21,Consultant,Robertmouth,NM,high_risk
CARD00255,F,1996-03-22,Teacher,Brownmouth,CO,night_owl
CARD00256,M,2002-02-21,Marketing Manager,Grimesberg,KS,weekend_splurger
CARD00257,M,2004-02-02,Data Analyst,Kristinstad,LA,high_risk
CARD00258,F,2002-09-24,Data Analyst,Oconnorberg,WY,weekend_splurger
CARD00259,F,1993-04-23,Consultant,North Justinport,PW,weekend_splurger
CARD00260,F,2006-03-08,Freelancer,Hendersonhaven,FL,conservative
CARD00261,M,1996-03-17,Graphic Designer,Cannonland,NE,night_owl
CARD00262,F,1999-01-20,Teacher,North Michaelbury,DC,high_risk
CARD00263,M,1994-09-21,Sales Executive,Ericshire,WY,night_owl
CARD00264,F,2007-04-12,Graphic Designer,Port Debraton,LA,weekend_splurger
CARD00265,M,2006-09-10,Nurse,East Carolynside,FM,high_risk
CARD00266,M,2001-04-02,Marketing Manager,Port Jessica,AR,conservative
CARD00267,F,2002-08-23,Consultant,Murphyborough,VT,weekend_splurger
CARD00268,M,1998-04-23,Student,Boyerfort,FM,weekend_splurger
CARD00269,M,1994-04-09,Teacher,North Charlesberg,NM,night_owl
CARD00270,M,2003-09-28,Data Analyst,North Samanthaport,UT,weekend_splurger
CARD00271,F,1995-07-22,Graphic Designer,Deanton,TN,weekend_splurger
CARD00272,M,2006-09-21,Student,Cohenport,NC,weekend_splurger
CARD00273,M,1994-05-08,Marketing Manager,Andersonchester,OR,high_risk
CARD00274,M,2001-09-15,Student,Stoneburgh,RI,weekend_splurger
CARD00275,F,2002-03-02,Nurse,Lake Jacqueline,MD,high_risk
CARD00276,F,1998-08-01,Sales Executive,Alexanderfurt,IL,night_owl
CARD00277,M,1994-03-15,Product Manager,West Lisastad,WV,night_owl
CARD00278,F,2007-08-24,Marketing Manager,Cooperville,VI,night_owl
CARD00279,F,2007-06-09,Consultant,North Joshua,TN,conservative
CARD00280,M,2001-12-16,Product Manager,Port Tyronestad,NJ,conservative
CARD00281,F,1997-09-18,Consultant,South Todd,WI,weekend_splurger
CARD00282,M,1994-06-01,Software Engineer,Myersside,MS,high_risk
CARD00283,M,2007-09-20,Graphic Designer,North Aaronfort,MD,conservative
CARD00284,M,2003-05-28,Freelancer,South Katherinetown,OR,weekend_splurger
CARD00285,M,1996-01-24,Graphic Designer,Janiceborough,FM,conservative
CARD00286,F,2005-06-07,Nurse,Port Brian,ME,night_owl
CARD00287,F,1997-01-29,Marketing Manager,Stephenschester,NC,night_owl
CARD00288,F,2002-06-19,Consultant,Port Melissafurt,RI,weekend_splurger
CARD00289,M,2005-11-07,Student,East Randy,RI,conservative
CARD00290,F,1993-12-28,Consultant,Anthonymouth,IL,high_risk
CARD00291,M,2001-04-23,Marketing Manager,Sarahhaven,IL,night_owl
CARD00292,M,2004-01-18,Student,Brighthaven,NE,night_owl
CARD00293,M,1994-01-11,Teacher,East Elizabeth,MT,conservative
CARD00294,F,2001-06-11,Teacher,South Richardberg,TX,night_owl
CARD00295,M,2005-07-10,Data Analyst,Horneport,MI,night_owl
CARD00296,F,1994-01-10,Product Manager,Leeport,PW,night_owl
CARD00297,F,2005-07-15,Product Manager,North Jonathon,KY,high_risk
CARD00298,M,1996-03-07,Product Manager,Griffithburgh,AL,weekend_splurger
CARD00299,M,2008-02-02,Freelancer,Markport,ID,night_owl
CARD00300,F,2002-11-19,Graphic Designer,North Amy,AS,night_owl
CARD00301,F,2007-11-17,Student,New Brenttown,FL,weekend_splurger
CARD00302,M,1994-11-20,Data Analyst,West Jamesland,OH,night_owl
CARD00303,F,2004-04-09,Marketing Manager,Robertsstad,MI,high_risk
CARD00304,M,1998-09-28,Data Analyst,Lake Kenneth,DC,conservative
CARD00305,M,1993-09-21,Sales Executive,East Randallfurt,MD,weekend_splurger
CARD00306,F,1994-03-05,Data Analyst,Christieburgh,AK,conservative
CARD00307,F,2001-06-05,Consultant,Myersfort,CO,conservative
CARD00308,F,2004-12-20,Graphic Designer,North Javier,ND,conservative
CARD00309,M,1994-01-01,Student,Greeneview,SC,high_risk
CARD00310,F,2003-08-19,Sales Executive,Warrenshire,DC,night_owl
CARD00311,M,2002-02-26,Data Analyst,New Christopher,KY,high_risk
CARD00312,F,2002-05-09,Consultant,Port Pamela,LA,night_owl
CARD00313,F,2005-03-24,Data Analyst,Weaverview,IA,high_risk
CARD00314,F,2002-09-02,Data Analyst,Christophermouth,IL,conservative
CARD00315,M,1998-10-12,Marketing Manager,Andersonchester,OH,weekend_splurger
CARD00316,F,1994-03-31,Content Creator,Port Lindsey,WA,weekend_splurger
CARD00317,F,1996-09-25,Sales Executive,West Randybury,MH,conservative
CARD00318,F,2005-11-23,Freelancer,Hortonmouth,AK,conservative
CARD00319,M,2007-01-29,Freelancer,New Jerry,NC,night_owl
CARD00320,M,2003-11-03,Software Engineer,Alanmouth,MD,conservative
CARD00321,F,1997-08-16,Data Analyst,South Lauraberg,IL,weekend_splurger
CARD00322,M,2003-01-14,Freelancer,Maryside,CO,weekend_splurger
CARD00323,M,2005-12-06,Software Engineer,East Andrewburgh,VA,night_owl
CARD00324,F,1997-01-30,Content Creator,Mitchellburgh,VT,night_owl
CARD00325,F,2003-10-23,Nurse,North Ann,HI,night_owl
CARD00326,F,2006-05-15,Marketing Manager,Christopherview,PA,conservative
CARD00327,M,1998-02-15,Sales Executive,North Fernando,NC,conservative
CARD00328,M,2006-12-11,Consultant,Dennishaven,MH,conservative
CARD00329,F,2001-11-20,Teacher,Hurleymouth,IL,night_owl
CARD00330,M,1997-04-30,Software Engineer,Lake Michael,CT,weekend_splurger
CARD00331,F,2007-06-21,Nurse,Pooleland,MT,high_risk
CARD00332,M,1995-10-15,Graphic Designer,Jesseside,OR,night_owl
CARD00333,F,1995-07-18,Nurse,New Fernando,AZ,high_risk
CARD00334,M,2002-03-01,Graphic Designer,Port Stephanieville,NE,night_owl
CARD00335,F,2007-09-11,Graphic Designer,Campbellside,DE,weekend_splurger
CARD00336,M,2005-11-26,Nurse,New Carla,IL,high_risk
CARD00337,M,2004-08-20,Sales Executive,North Emilyborough,CA,conservative
CARD00338,M,2001-01-05,Content Creator,Johnsonfort,RI,high_risk
CARD00339,M,2000-05-01,Content Creator,West Stephanie,IA,high_risk
CARD00340,F,1997-10-06,Graphic Designer,West Victoriaville,NV,night_owl
CARD00341,F,2005-10-04,Student,South Cindy,MT,night_owl
CARD00342,M,2001-10-13,Teacher,West Michael,AZ,weekend_splurger
CARD00343,M,1996-03-09,Product Manager,West Betty,TX,night_owl
CARD00344,M,2002-11-25,Teacher,Port John,OK,night_owl
CARD00345,M,2003-10-19,Graphic Designer,Christopherview,MI,night_owl
CARD00346,M,2008-01-15,Student,West Meganview,SC,conservative
CARD00347,M,2001-08-29,Teacher,New Dawn,MS,night_owl
CARD00348,F,1998-04-01,Freelancer,Kington,TN,weekend_splurger
CARD00349,M,2003-04-28,Software Engineer,Osbornfurt,CT,weekend_splurger
CARD00350,M,2007-05-20,Consultant,North Paulbury,NC,night_owl
CARD00351,F,1997-02-08,Product Manager,Zacharychester,WA,weekend_splurger
CARD00352,M,2002-04-04,Consultant,Changton,AZ,night_owl
CARD00353,F,2005-12-18,Freelancer,East Jamie,IL,weekend_splurger
CARD00354,F,2004-11-15,Sales Executive,Sweeneyton,OR,weekend_splurger
CARD00355,M,2004-02-23,Data Analyst,South Kristiechester,WI,high_risk
CARD00356,M,1995-03-18,Freelancer,Edwardsside,MA,high_risk
CARD00357,F,1994-07-26,Graphic Designer,South Gail,GU,night_owl
CARD00358,F,1997-02-23,Sales Executive,Weberbury,SD,night_owl
CARD00359,F,1996-01-07,Nurse,Johnsonhaven,NC,night_owl
CARD00360,M,2000-07-28,Student,New Joannastad,TN,weekend_splurger
CARD00361,F,2003-11-18,Content Creator,Jasonchester,OR,weekend_splurger
CARD00362,M,2000-04-03,Freelancer,East Emilyside,AZ,conservative
CARD00363,F,2001-12-07,Graphic Designer,Benjaminton,LA,conservative
CARD00364,F,2004-07-01,Teacher,North Andrewport,WY,weekend_splurger
CARD00365,F,2003-05-03,Consultant,Port Billy,MT,night_owl
CARD00366,M,2001-09-03,Graphic Designer,Greenetown,PW,conservative
CARD00367,M,2007-06-11,Software Engineer,Jonesview,WI,night_owl
CARD00368,F,1996-06-28,Consultant,East Janicefort,CT,conservative
CARD00369,F,2005-03-06,Freelancer,East Billbury,IN,high_risk
CARD00370,M,2000-01-30,Graphic Designer,Kylehaven,WY,weekend_splurger
CARD00371,M,1999-04-18,Nurse,Deborahport,VI,weekend_splurger
CARD00372,M,1993-09-20,Data Analyst,Vincentfurt,OR,night_owl
CARD00373,F,2003-03-02,Graphic Designer,Latoyaside,NC,conservative
CARD00374,M,1998-08-16,Teacher,South Brandonview,TN,high_risk
CARD00375,M,1995-08-06,Sales Executive,Danielshaven,AZ,conservative
CARD00376,F,1998-04-08,Data Analyst,New Aaronport,GA,conservative
CARD00377,M,2003-08-23,Data Analyst,Annamouth,ME,high_risk
CARD00378,F,1997-04-23,Sales Executive,Prattview,MS,night_owl
CARD00379,M,2004-08-19,Product Manager,Thomaschester,MA,night_owl
CARD00380,M,1997-05-21,Sales Executive,Lake Debra,GA,conservative
CARD00381,M,2004-10-05,Freelancer,Port Brendabury,WI,weekend_splurger
